Feature_1,Feature_2,Interaction_Strength,Feature_1_Main,Feature_2_Main,Relative_Strength
latitude,booking_rate_proxy,0.2434883713722229,6.78519344329834,5.119451999664307,0.035879963252842165
amenity_count,neighborhood_price_mean,0.24089349806308746,5.688477516174316,26.205886840820312,0.042340179283293415
reviews_per_year,review_recency,0.23924647271633148,1.1706703901290894,8.418960571289062,0.2041926421730026
distance_from_center,estimated_bookings_monthly,0.23722811043262482,19.5621280670166,0.8008975386619568,0.012126287249153727
bathrooms_per_bedroom,distance_from_center,0.23627987504005432,2.0837700366973877,19.5621280670166,0.11333618139215
avg_review_score,instant_bookable_num,0.23618745803833008,7.010324001312256,5.354153633117676,0.0336865701819121
bathrooms,has_tv,0.2340613156557083,12.385093688964844,5.453918933868408,0.018897105216008566
accommodates,host_responsiveness,0.23193861544132233,34.364131927490234,0.843758225440979,0.006749242689674765
bedrooms_per_person,neighborhood_price_mean,0.23178839683532715,2.08400297164917,26.205886840820312,0.11116933644079655
has_dishwasher,superhost_num,0.23150333762168884,7.868259906768799,2.4219722747802734,0.029418692528195647
accommodates,minimum_nights,0.22687049210071564,34.364131927490234,2.188474655151367,0.006601764037437948
bedrooms_filled,superhost_num,0.2250698059797287,43.76520919799805,2.4219722747802734,0.005142547415096298
distance_from_center,response_rate_num,0.22433678805828094,19.5621280670166,0.6746172904968262,0.011467327070076914
bedrooms_filled,superhost_high_rating,0.22272774577140808,43.76520919799805,1.3865630626678467,0.005089034436676689
reviews_per_month,instant_bookable_num,0.22141033411026,4.875715255737305,5.354153633117676,0.04540153002572327
has_gym,distance_from_center,0.22100713849067688,1.1312609910964966,19.5621280670166,0.19519098531925105
bedrooms_filled,listings_in_neighborhood,0.22086627781391144,43.76520919799805,0.8757445216178894,0.005046502355612154
bedrooms_filled,reviews_per_month,0.220245823264122,43.76520919799805,4.875715255737305,0.005032325789691571
beds_per_bedroom,distance_from_center,0.21981564164161682,0.9274015426635742,19.5621280670166,0.2367678547915464
response_rate_num,acceptance_rate_numeric,0.2188192456960678,0.6746172904968262,2.506903648376465,0.3238804701625613
distance_from_center,competition_intensity,0.21734294295310974,19.5621280670166,1.853543758392334,0.011109825699068522
accommodates,acceptance_rate_numeric,0.2154795527458191,34.364131927490234,2.506903648376465,0.006270296101306313
latitude,instant_bookable_num,0.21265573799610138,6.78519344329834,5.354153633117676,0.03133652757955318
neighborhood_price_mean,instant_bookable_num,0.2124391496181488,26.205886840820312,5.354153633117676,0.008106233712859392
has_tv,latitude,0.20845159888267517,5.453918933868408,6.78519344329834,0.03821350993659033
accommodates,reviews_per_year,0.20750179886817932,34.364131927490234,1.1706703901290894,0.006038149345854517
latitude,avg_review_score,0.20667089521884918,6.78519344329834,7.010324001312256,0.03045461302358624
bathrooms,latitude,0.20581671595573425,12.385093688964844,6.78519344329834,0.016616757560868667
minimum_nights,acceptance_rate_numeric,0.2042352259159088,2.188474655151367,2.506903648376465,0.09328047047057013
accommodates,response_time_score,0.20342028141021729,34.364131927490234,3.4772212505340576,0.0059193801973299615
response_rate_num,instant_bookable_num,0.20305666327476501,0.6746172904968262,5.354153633117676,0.3005498321770954
amenity_count,latitude,0.20146866142749786,5.688477516174316,6.78519344329834,0.035410749204079495
accommodates,luxury_central,0.20146703720092773,34.364131927490234,1.5308122634887695,0.005862542231061976
latitude,reviews_per_month,0.19967451691627502,6.78519344329834,4.875715255737305,0.029423640599791957
has_dishwasher,response_time_score,0.19963210821151733,7.868259906768799,3.4772212505340576,0.02536860017036702
longitude,availability_365,0.19927923381328583,4.215747833251953,8.74464225769043,0.04725898765912255
accommodates,superhost_high_rating,0.19903594255447388,34.364131927490234,1.3865630626678467,0.005791799169414973
superhost_num,instant_bookable_num,0.19851054251194,2.4219722747802734,5.354153633117676,0.08192852414291116
number_of_reviews,availability_365,0.19512316584587097,1.2860244512557983,8.74464225769043,0.15160797112710792
amenity_count,is_professional,0.19234810769557953,5.688477516174316,2.3869950771331787,0.033807692736066396
response_rate_num,host_responsiveness,0.19222937524318695,0.6746172904968262,0.843758225440979,0.2845240611024445
distance_from_center,minimum_nights,0.18999190628528595,19.5621280670166,2.188474655151367,0.009711734526014372
neighborhood_price_mean,response_time_score,0.18926550447940826,26.205886840820312,3.4772212505340576,0.007221975873326738
has_tv,response_time_score,0.1873781681060791,5.453918933868408,3.4772212505340576,0.034350312145371896
competition_intensity,reviews_per_month,0.18682517111301422,1.853543758392334,4.875715255737305,0.1007391549903191
neighborhood_price_mean,superhost_high_rating,0.1867990344762802,26.205886840820312,1.3865630626678467,0.007127860535701582
bedrooms_filled,amenity_count,0.18637460470199585,43.76520919799805,5.688477516174316,0.004258413239740238
accommodates,superhost_many_reviews,0.18502771854400635,34.364131927490234,0.9578744173049927,0.005384170179658011
number_of_reviews,acceptance_rate_numeric,0.18401767313480377,1.2860244512557983,2.506903648376465,0.14297915859737614
latitude,competition_intensity,0.18394550681114197,6.78519344329834,1.853543758392334,0.02710584488168343
neighborhood_encoded,acceptance_rate_numeric,0.18383172154426575,1.1173491477966309,2.506903648376465,0.16437775439490487
accommodates,large_premium,0.1830209493637085,34.364131927490234,0.7221126556396484,0.00532577467620026
accommodates,essential_score,0.1825043112039566,34.364131927490234,1.0004639625549316,0.005310740886694024
accommodates,has_parking,0.1815972626209259,34.364131927490234,0.3962650001049042,0.005284346441739046
has_dryer,availability_365,0.18137197196483612,0.7800713777542114,8.74464225769043,0.23220921561141944
amenity_count,review_recency,0.1792363077402115,5.688477516174316,8.418960571289062,0.0315031226032039
has_elevator,avg_review_score,0.177948459982872,3.79388427734375,7.010324001312256,0.04689166967363442
bedrooms_filled,luxury_central,0.17762145400047302,43.76520919799805,1.5308122634887695,0.004058415322124764
bedrooms_filled,minimum_nights,0.177571639418602,43.76520919799805,2.188474655151367,0.00405727712480807
distance_from_center,is_professional,0.1771053522825241,19.5621280670166,2.3869950771331787,0.009053018089736038
is_professional,availability_365,0.17538964748382568,2.3869950771331787,8.74464225769043,0.07344640245003495
longitude,reviews_per_month,0.17385561764240265,4.215747833251953,4.875715255737305,0.041229787627192614
bedrooms_per_person,availability_365,0.17218732833862305,2.08400297164917,8.74464225769043,0.08258373281954051
